IP:Port,Loss,Latency
188.114.98.139:8319,0%,6.04
162.159.192.176:955,0%,6.07
162.159.195.48:1014,0%,6.09
188.114.97.206:3476,0%,6.13
188.114.98.102:1843,0%,6.16
188.114.96.142:955,0%,6.16
188.114.98.62:5279,0%,6.16
188.114.98.215:934,0%,6.17
188.114.98.109:987,0%,6.18
188.114.99.38:878,0%,6.22
188.114.97.112:968,0%,6.24
188.114.98.229:894,0%,6.32
188.114.97.129:4233,0%,6.40
188.114.96.72:3138,0%,6.60
162.159.192.106:890,0%,6.69
188.114.98.42:1843,0%,6.70
188.114.99.102:5956,0%,6.98
162.159.195.196:3138,0%,6.99
188.114.99.44:859,0%,7.14
188.114.99.74:943,0%,7.14
162.159.195.1:2408,0%,7.17
162.159.192.143:859,0%,7.20
162.159.192.135:500,0%,7.29
162.159.195.146:5279,0%,7.40
162.159.195.98:946,0%,7.75
